Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Février 2024 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Blanquefort 33290; 1 440
Blanzy 71450;  460
Blaye 33390;  700
Blendecques 62575;  410
Bléré 37150;  450
Blois 41000; 5 530
Blotzheim 68730;  360
Bobigny 93000; 6 170
Boé 47550;  440
Bogny-sur-Meuse 08120;  600
Bohain-en-Vermandois 02110;  940
Bois-Colombes 92270; 2 050
Bois-d'Arcy 78390;  870
Bois-Guillaume 76230;  800
Bois-le-Roi 77590;  330
Boissy-Saint-Léger 94470; 1 630
Bolbec 76210; 1 370
Bollène 84500; 1 800
Bompas 66430;  840
Bonchamp-lès-Laval 53960;  300
Bondoufle 91070;  760
Bondues 59910;  640
Bondy 93140; 6 370
Bon-Encontre 47240;  530
Bonneuil-sur-Marne 94380; 1 840
Bonneville 74130; 1 270
Bonnières-sur-Seine 78270;  580
Bonsecours 76240;  440
Bons-en-Chablais 74890;  450
Bordeaux 33000; 32 160
Bordères-sur-l'Échez 65320;  480
Borgo 20290;  730
Bormes-les-Mimosas 83230;  930
Bouaye 44830;  590
Boucau 64340;  920
Bouc-Bel-Air 13320; 1 090
Bouchemaine 49080;  390
Bouffémont 95570;  410
Bougival 78380;  620
Bouguenais 44340; 1 750
Bouillante 97125; 1 190
Bouillargues 30230;  490
Boulay-Moselle 57220;  430
Boulazac 24750;  850
Boulogne-Billancourt 92100; 8 520
Boulogne-sur-Mer 62200; 5 250
Bourbon-Lancy 71140;  350
Bourbourg 59630;  730
Bourg-de-Péage 26300; 1 140
Bourg-en-Bresse 01000; 4 830
Bourges 18000; 6 470
Bourg-la-Reine 92340; 1 300
Bourg-lès-Valence 26500; 2 190
Bourgoin-Jallieu 38300; 3 100
Bourg-Saint-Andéol 07700;  960
Bourg-Saint-Maurice 73700;  580
Boussy-Saint-Antoine 91800;  620
Bras-Panon 97412; 2 420
Bréal-sous-Montfort 35310;  410
Brebières 62117;  430
Brech 56400;  520
Bressuire 79300; 1 540
Brest 29200; 14 840
Bretignolles-sur-Mer 85470;  440
Brétigny-sur-Orge 91220; 2 500
Breuillet 91650;  630
Briançon 05100; 1 280
Briare 45250;  450
Bricquebec-en-Cotentin 50260;  360
Briec 29510;  500
Brie-Comte-Robert 77170; 1 400
Briey 54150;  640
Brignais 69530;  900
Brignoles 83170; 2 120
Brindas 69126;  370
Brioude 43100;  690
Brissac Loire Aubance 49320;  840
Brive-la-Gaillarde 19100; 4 800
Bron 69500; 3 950
Brou-sur-Chantereine 77177;  420
Bruay-la-Buissière 62700; 2 680
Bruay-sur-l'Escaut 59860; 1 580
Bruges 33520; 1 810
Bruguières 31150;  550
Brumath 67170;  670
Brunoy 91800; 1 840
Brunstatt 68350;  650
Bruz 35170; 1 580
Bry-sur-Marne 94360; 1 130
Buc 78530;  260
Bully-les-Mines 62160; 1 280
Bures-sur-Yvette 91440;  500
Bussy-Saint-Georges 77600; 2 400
Buxerolles 86180;  880
Cabestany 66330;  900
Cabriès 13480;  640
Cachan 94230; 2 460
Cadaujac 33140;  550
Caen 14000; 13 120
Cagnes-sur-Mer 06800; 4 360
Cahors 46000; 2 560
Calais 62100; 9 290
Calonne-Ricouart 62470;  590
Caluire-et-Cuire 69300; 3 560
Calvi 20260;  770
Calvisson 30420;  620
Cambo-les-Bains 64250;  490
Cambrai 59400; 4 230
Cancale 35260;  430
Canéjan 33610;  400
Canet-en-Roussillon 66140; 1 680
Cannes 06400; 9 430
Canohès 66680;  600
Canteleu 76380; 1 820
Capbreton 40130; 1 190
Capesterre-Belle-Eau 97130; 2 820
Cappelle-la-Grande 59180;  750
Carbon-Blanc 33560;  780
Carbonne 31390;  570
Carcassonne 11000; 5 900
Carentan 50500;  690
Carhaix-Plouguer 29270;  650
Carmaux 81400; 1 160
Carnoux-en-Provence 13470;  490
Carpentras 84200; 4 540
Carquefou 44470; 1 420
Carqueiranne 83320;  700
Carrières-sous-Poissy 78955; 2 270
Carrières-sur-Seine 78420;  970
Carros 06510; 1 070
Carry-le-Rouet 13620;  400
Carvin 62220; 1 590
Cassis 13260;  590
Castanet-Tolosan 31320; 1 400
Castelginest 31780; 1 090
Castelnaudary 11400; 1 270
Castelnau-d'Estrétefonds 31620;  560
