Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Février 2024 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
La Charité-sur-Loire 58400;  350
La Chevrolière 44118;  440
La Ciotat 13600; 4 010
La Colle-sur-Loup 06480;  600
La Côte-Saint-André 38260;  450
La Courneuve 93120; 4 690
La Couronne 16400;  820
La Crau 83260; 1 190
La Crèche 79260;  390
La Fare-les-Oliviers 13580;  660
La Farlède 83210;  580
La Ferrière 85280;  370
La Ferté-Bernard 72400;  830
La Ferté-Macé 61600;  470
La Ferté-Saint-Aubin 45240;  490
La Ferté-sous-Jouarre 77260; 1 060
La Flèche 72200; 1 420
La Garde 83130; 1 840
La Garenne-Colombes 92250; 1 940
La Garnache 85710;  480
La Gaude 06610;  470
La Gorgue 59253;  460
La Grand-Combe 30110;  810
La Grand-Croix 42320;  460
La Grande-Motte 34280; 1 300
La Hague 50440;  680
La Londe-les-Maures 83250;  990
La Madeleine 59110; 2 070
La Mézière 35520;  350
La Montagne 44620;  530
La Motte-Servolex 73290;  750
La Mulatière 69350;  680
La Mure 38350;  350
La Penne-sur-Huveaune 13821;  490
La Plaine-des-Palmistes 97431; 1 360
La Possession 97419; 6 390
La Queue-en-Brie 94510;  770
La Ravoire 73490;  700
La Ricamarie 42150; 1 030
La Riche 37520; 1 100
La Rochelle 17000; 9 260
La Roche-sur-Foron 74800;  900
La Roche-sur-Yon 85000; 6 010
La Roque-d'Anthéron 13640;  510
La Roquette-sur-Siagne 06550;  410
La Salvetat-Saint-Gilles 31880;  650
La Seyne-sur-Mer 83500; 6 380
La Souterraine 23300;  450
La Talaudière 42350;  460
La Teste-de-Buch 33260; 2 630
La Tour-du-Pin 38110;  810
La Trinité 06340;  810
La Trinité 97220; 1 620
La Tronche 38700;  380
La Valette-du-Var 83160; 1 620
La Verpillière 38290;  660
La Verrière 78320;  670
La Ville-aux-Dames 37700;  440
La Ville-du-Bois 91620;  570
La Voulte-sur-Rhône 07800;  590
La Wantzenau 67610;  300
Labarthe-sur-Lèze 31860;  540
Labenne 40530;  740
Labruguière 81290;  560
Lacanau 33680;  740
Lacroix-Saint-Ouen 60610;  420
Lagnieu 01150;  590
Lagny-sur-Marne 77400; 2 010
Lagord 17140;  640
L'Aigle 61300;  780
Laillé 35890;  360
Lallaing 59167;  740
Lamballe 22400; 1 260
Lambersart 59130; 1 950
Lambesc 13410;  790
Lambres-lez-Douai 59552;  450
Lamentin 97129; 2 520
Lamorlaye 60260;  520
Lançon-Provence 13680;  770
Landerneau 29800; 1 310
Landivisiau 29400;  770
Lanester 56600; 2 090
Laneuveville-devant-Nancy 54410;  530
Langon 33210;  930
Langres 52200;  820
Langueux 22360;  740
Languidic 56440;  590
Lannemezan 65300;  620
Lannilis 29870;  400
Lannion 22300; 1 880
Lanton 33138;  590
Laon 02000; 3 620
L'Arbresle 69210;  580
Lardy 91510;  340
Larmor-Plage 56260;  450
Lattes 34970; 1 550
Laudun-l'Ardoise 30290;  520
Launaguet 31140;  970
Laval 53000; 5 150
Lavaur 81500; 1 050
Lavelanet 09300;  760
Laventie 62840;  290
Laxou 54520; 1 200
Le Barcarès 66420;  920
Le Barp 33114;  430
Le Beausset 83330;  830
Le Blanc 36300;  480
Le Blanc-Mesnil 93150; 6 370
Le Boulou 66160;  710
Le Bourget 93350; 1 470
Le Bourget-du-Lac 73370;  320
Le Bouscat 33110; 2 150
Le Cannet 06110; 4 800
Le Castellet 83330;  550
Le Cateau-Cambrésis 59360; 1 090
Le Cendre 63670;  350
Le Chambon-Feugerolles 42500; 1 400
Le Chesnay 78150; 1 750
Le Controis-en-Sologne 41700;  590
Le Coteau 42120;  620
Le Crès 34920;  790
Le Creusot 71200; 2 150
Le Diamant 97223;  810
Le Fenouiller 85800;  330
Le François 97240; 2 290
Le Gosier 97190; 4 300
Le Grand-Quevilly 76120; 2 670
Le Grau-du-Roi 30240; 1 290
Le Haillan 33185;  950
Le Havre 76600; 20 180
Le Kremlin-Bicêtre 94270; 2 310
Le Lamentin 97232; 4 770
Le Lavandou 83980;  820
Le Lion-d'Angers 49220;  330
Le Loroux-Bottereau 44430;  590
Le Lorrain 97214;  930
Le Luc 83340; 1 160
Le Mans 72000; 18 530
Le Marin 97290; 1 380
Le Mée-sur-Seine 77350; 2 250
Le Mené 22330;  540
Le Mesnil-Esnard 76240;  530
Le Mesnil-le-Roi 78600;  360
Le Mesnil-Saint-Denis 78320;  380
Le Morne-Rouge 97260;  500
Le Moule 97160; 3 490
Le Muy 83490;  960
Le Palais-sur-Vienne 87410;  430
Le Passage 47520;  850
Le Péage-de-Roussillon 38550;  820
Le Pecq 78230; 1 040
Le Pellerin 44640;  460
Le Perray-en-Yvelines 78610;  380
Le Perreux-sur-Marne 94170; 2 440
Le Petit-Quevilly 76140; 3 150
Le Pian-Médoc 33290;  470
Le Plessis-Bouchard 95130;  560
Le Plessis-Robinson 92350; 1 590
Le Plessis-Trévise 94420; 1 450
Le Poinçonnet 36330;  290
Le Poiré-sur-Vie 85170;  580
Le Pont-de-Claix 38800; 1 050
Le Pontet 84130; 2 080
Le Port 97420; 7 830
Le Portel 62480; 1 070
Le Port-Marly 78560;  430
Le Pradet 83220;  690
Le Pré-Saint-Gervais 93310; 2 310
Le Puy-en-Velay 43000; 2 170
Le Puy-Sainte-Réparade 13610;  500
Le Quesnoy 59530;  550
Le Raincy 93340; 1 140
Le Relecq-Kerhuon 29480;  820
Le Rheu 35650;  830
Le Robert 97231; 2 800
Le Rove 13740;  400
Le Soler 66270;  830
Le Taillan-Médoc 33320;  780
Le Tampon 97430; 17 080
Le Teich 33470;  770
Le Teil 07400;  990
Le Thor 84250;  960
Le Trait 76580;  450
Le Tréport 76470;  490
Le Vauclin 97280; 1 290
Le Versoud 38420;  250
Le Vésinet 78110;  900
Leers 59115;  620
Leforest 62790;  620
Lège-Cap-Ferret 33950;  710
Léguevin 31490;  790
Lempdes 63370;  560
Lens 62300; 4 340
Lentilly 69210;  430
Léognan 33850;  770
Les Abrets en Dauphiné 38490;  500
Les Abymes 97139; 9 260
Les Achards 85150;  430
Les Andelys 27700;  810
Les Angles 30133;  700
Les Arcs 83460;  780
Les Avenières 38630;  560
Les Avirons 97425; 2 130
Les Clayes-sous-Bois 78340; 1 210
Les Essarts 85140;  560
Les Essarts-le-Roi 78690;  360
Les Hauts-d'Anjou 49330;  720
Les Herbiers 85500; 1 270
Les Lilas 93260; 2 460
Les Mureaux 78130; 5 110
Les Pavillons-sous-Bois 93320; 2 260
Les Pennes-Mirabeau 13170; 1 470
Les Ponts-de-Cé 49130; 1 120
Les Sables-d'Olonne 85100; 3 910
Les Sorinières 44840;  700
Les Trois-Bassins 97426; 1 750
Les Trois-Îlets 97229; 1 100
Les Ulis 91940; 2 420
Lescar 64230;  690
Lésigny 77150;  380
Lesneven 29260;  580
Lesparre-Médoc 33340;  790
Lesquin 59810;  680
Lestrem 62136;  310
L'Étang-Salé 97427; 2 910
Levallois-Perret 92300; 4 670
Levens 06670;  370
Lèves 28300;  410
Lézignan-Corbières 11200; 1 080
Lezoux 63190;  580
L'Haÿ-les-Roses 94240; 2 560
L'Hôpital 57490;  630
Liancourt 60140;  630
Libercourt 62820;  830
Libourne 33500; 2 900
Lieusaint 77127; 1 170
Liévin 62800; 3 520
Liffré 35340;  620
Ligné 44850;  380
L'Île-Saint-Denis 93450; 1 020
Lille 59000; 29 530
Lillebonne 76170; 1 150
Lillers 62190; 1 040
Limay 78520; 2 370
Limeil-Brévannes 94450; 2 200
Limoges 87000; 13 710
Limours 91470;  310
Limoux 11300; 1 150
Linas 91310;  680
Lingolsheim 67380; 2 090
Linselles 59126;  550
Lisieux 14100; 2 070
L'Isle-Adam 95290;  870
L'Isle-d'Abeau 38080; 1 910
L'Isle-d'Espagnac 16340;  480
L'Isle-Jourdain 32600;  680
L'Isle-sur-la-Sorgue 84800; 2 220
Lisses 91090;  530
Livarot-Pays-d'Auge 14140;  470
Liverdun 54460;  350
Livron-sur-Drôme 26250;  850
Livry-Gargan 93190; 4 400
Loches 37600;  540
Locmaria-Plouzané 29280;  290
Lodève 34700; 1 100
Lognes 77185; 1 300
Loire-Authion 49250; 1 100
Loireauxence 44370;  580
Loison-sous-Lens 62218;  560
Longjumeau 91160; 1 880
Longpont-sur-Orge 91310;  470
Longueau 80330;  530
Longué-Jumelles 49160;  730
Longuenée-en-Anjou 49220;  430
Longuenesse 62219;  960
Longuyon 54260;  380
Longvic 21600;  870
Longwy 54400; 1 510
Lons 64140; 1 110
Lons-le-Saunier 39000; 1 670
Loon-Plage 59279;  550
Loos 59120; 2 330
Loos-en-Gohelle 62750;  650
Lorgues 83510;  920
Lorient 56100; 6 020
Loriol-sur-Drôme 26270;  650
Lormont 33310; 3 360
Loudéac 22600;  940
Loudun 86200;  620
Louhans 71500;  570
Lourdes 65100; 2 420
Louveciennes 78430;  460
Louviers 27400; 2 330
Louvres 95380; 1 030
Louvroil 59720; 1 020
Lucciana 20290;  660
Lucé 28110; 2 050
Luc-la-Primaube 12450;  350
Luçon 85400;  810
Ludon-Médoc 33290;  390
Ludres 54710;  320
Luisant 28600;  490
Lunel 34400; 3 800
Lunéville 54300; 2 200
L'Union 31240;  930
Lure 70200;  890
Lutterbach 68460;  540
Luxeuil-les-Bains 70300;  710
Luynes 37230;  310
Lyon 69000; 51 460
Lys-Haut-Layon 49310;  580
Lys-lez-Lannoy 59390; 1 310
Mably 42300;  600
Machecoul 44270;  720
Mâcon 71870; 4 490
Macouria 97355; 1 970
Maen Roch 35460;  370
Magnanville 78200;  510
Magny-en-Vexin 95420;  510
Magny-le-Hongre 77700;  590
Magny-les-Hameaux 78114;  600
Mainvilliers 28300; 1 190
Maisons-Alfort 94700; 4 100
Maisons-Laffitte 78600; 1 550
Maizières-lès-Metz 57210; 1 090
Malakoff 92240; 2 720
Malaunay 76770;  530
Malemort-sur-Corrèze 19360;  640
Malesherbes 45330;  740
Mallemort 13370;  670
Malzéville 54220;  720
Mamers 72600;  470
Mana 97360;  850
Mandelieu-la-Napoule 06210; 2 500
Manduel 30129;  570
Manosque 04100; 2 820
Mantes-la-Jolie 78200; 6 300
Mantes-la-Ville 78200; 2 750
Marange-Silvange 57159;  460
Marcheprime 33380;  450
Marck 62730;  890
Marcoussis 91460;  490
Marcq-en-Baroeul 59700; 2 790
Marennes 17320;  520
Margny-lès-Compiègne 60280;  770
Marguerittes 30320;  740
Marignane 13700; 3 450
Marignier 74970;  520
Maripasoula 97370;  380
Marles-les-Mines 62540;  630
Marly 57157;  590
Marly 59770; 1 420
Marly-la-Ville 95670;  380
Marly-le-Roi 78160; 1 000
Marmande 47200; 1 880
Marnaz 74460;  540
Marolles-en-Hurepoix 91630;  280
Maromme 76150; 1 500
Marquette-lez-Lille 59520; 1 000
Marquise 62250;  470
Marsannay-la-Côte 21160;  370
Marseillan 34340; 1 090
Marseille 13000; 105 410
Marsillargues 34590;  870
Martignas-sur-Jalle 33127;  520
Martigues 13500; 5 330
Massy 91300; 4 500
Matoury 97351; 4 010
Maubeuge 59600; 4 390
Mauges-sur-Loire 49620; 1 240
Mauguio 34130; 1 910
Maule 78580;  370
Mauléon 79700;  600
Maurepas 78310; 1 620
Maxéville 54320; 1 090
Mayenne 53100; 1 000
Mazamet 81200; 1 220
Mazan 84380;  610
Mazé-Milon 49250;  450
Mazingarbe 62670;  970
Meaux 77100; 6 460
Mehun-sur-Yèvre 18500;  480
Melesse 35520;  530
Melle 79500;  440
Melun 77000; 5 210
Mende 48000;  870
Mennecy 91540; 1 020
Menton 06500; 3 070
Menucourt 95180;  410
Mer 41500;  530
Méricourt 62680; 1 200
Mériel 95630;  330
Mérignac 33700; 6 670
Méru 60110; 1 620
Merville 59660;  940
Merville 31330;  580
Méry-sur-Oise 95540;  760
Mesnils-sur-Iton 27240;  420
Metz 57000; 13 820
Meudon 92190; 3 350
Meulan-en-Yvelines 78250; 1 060
Meung-sur-Loire 45130;  520
Meximieux 01800;  610
Meylan 38240; 1 070
Meyreuil 13590;  510
Meyzieu 69330; 3 000
Mèze 34140; 1 130
Mézidon Vallée d'Auge 14270;  710
Migennes 89400;  860
Mignaloux-Beauvoir 86550;  270
Migné-Auxances 86440;  420
Milhaud 30540;  640
Millau 12100; 2 300
Mimizan 40200;  940
Mions 69780;  950
Mios 33380;  960
Miramas 13140; 3 370
Mirecourt 88500;  440
Miribel 01700;  740
Missillac 44780;  380
Mitry-Mory 77290; 1 810
Moëlan-sur-Mer 29350;  540
Moirans 38430;  590
Moissac 82200; 2 580
Moissy-Cramayel 77550; 1 670
Molsheim 67120;  770
Moncoutant-sur-Sèvre 79320;  320
Mondelange 57300;  510
Mondeville 14120; 1 180
Mondonville 31700;  680
Monistrol-sur-Loire 43120;  670
Mons-en-Baroeul 59370; 2 310
Montaigu 85600; 1 310
Montargis 45200; 2 520
Montataire 60160; 1 640
Montauban 82000; 7 270
Montauban-de-Bretagne 35360;  410
Montauroux 83440;  560
Montbard 21500;  460
Montbéliard 25200; 3 220
Montbonnot-Saint-Martin 38330;  320
Montbrison 42600; 1 430
Montceau-les-Mines 71300; 1 940
Montchanin 71210;  460
Mont-de-Marsan 40000; 2 840
Montdidier 80500;  720
Montech 82700;  590
Montélimar 26200; 4 840
Montereau-Fault-Yonne 77130; 2 750
Montesson 78360;  940
Monteux 84170; 1 560
Montévrain 77144; 1 100
Montfermeil 93370; 2 630
Montfort-sur-Meu 35160;  460
Montgeron 91230; 1 850
Montigny-en-Gohelle 62640;  970
Montigny-le-Bretonneux 78180; 2 040
Montigny-lès-Cormeilles 95370; 2 030
Montigny-lès-Metz 57158; 2 170
Montivilliers 76290; 1 230
Montlhéry 91310;  660
Montlouis-sur-Loire 37270;  850
Montluçon 03100; 4 060
Montluel 01120;  620
Montmagny 95360; 1 380
Montmorency 95160; 1 660
Montmorillon 86500;  480
Montoir-de-Bretagne 44550;  600
Montpellier 34000; 41 040
Montpon-Ménestérol 24700;  570
Montreuil 93100; 15 440
Montreuil-Juigné 49460;  580
Montrevault-sur-Èvre 49110; 1 070
Montrond-les-Bains 42210;  360
Montrouge 92120; 3 830
Monts 37260;  490
Mont-Saint-Aignan 76130; 1 230
Mont-Saint-Martin 54350;  840
Montval-sur-Loir 72500;  590
Morangis 91420; 1 050
Morcenx-la-Nouvelle 40110;  400
Mordelles 35310;  610
Morières-lès-Avignon 84310;  850
Morlaix 29600; 1 750
Mormant 77720;  370
Mornant 69440;  340
Morne-à-l'Eau 97111; 2 750
Morsang-sur-Orge 91390; 1 710
Mortagne-sur-Sèvre 85290;  410
Morteau 25500;  540
Mouans-Sartoux 06370;  830
Mougins 06250; 1 740
Mouguerre 64990;  390
Mouilleron-le-Captif 85000;  300
Moulins 03000; 2 340
Moulins-lès-Metz 57160;  420
Mourenx 64150;  680
Mourmelon-le-Grand 51400;  310
Mouroux 77120;  400
Mouvaux 59420;  970
Mouy 60250;  540
Moyeuvre-Grande 57250;  780
Mulhouse 68100; 15 810
Mulsanne 72230;  380
Mundolsheim 67450;  360
Muret 31600; 2 780
Mûrs-Erigné 49130;  480
Mutzig 67190;  490
Muzillac 56190;  330
Naintré 86530;  490
Nancy 54000; 9 980
Nandy 77176;  560
Nangis 77370;  850
Nans-les-Pins 83860;  360
Nanterre 92000; 10 260
Nantes 44000; 34 670
Nanteuil-lès-Meaux 77100;  520
Narbonne 11100; 7 110
Nègrepelisse 82800;  550
Nemours 77140; 1 510
Nérac 47600;  660
Neufchâteau 88300;  700
Neuilly-Plaisance 93360; 1 780
Neuilly-sur-Marne 93330; 3 740
Neuilly-sur-Seine 92200; 3 340
Neuves-Maisons 54230;  510
Neuville-aux-Bois 45170;  320
Neuville-de-Poitou 86170;  380
Neuville-en-Ferrain 59960;  620
Neuville-sur-Saône 69250;  630
Nevers 58000; 3 150
Nice 06000; 38 440
Nieppe 59850;  560
Nieul-sur-Mer 17137;  410
Nîmes 30000; 18 900
Niort 79000; 5 280
Noeux-les-Mines 62290; 1 290
Nogent-le-Rotrou 28400; 1 020
Nogent-sur-Marne 94130; 2 330
Nogent-sur-Oise 60180; 2 500
Nogent-sur-Seine 10400;  580
Noisiel 77186; 1 590
Noisy-le-Grand 93160; 6 580
Noisy-le-Roi 78590;  390
Noisy-le-Sec 93130; 5 260
Nort-sur-Erdre 44390;  670
Notre-Dame-de-Bondeville 76960;  660
Notre-Dame-de-Gravenchon 76330;  920
Nouzonville 08700;  690
Noves 13550;  590
Noyal-Châtillon-sur-Seiche 35230;  730
Noyal-sur-Vilaine 35530;  410
Noyant-Villages 49490;  610
Noyelles-Godault 62950;  670
Noyelles-sous-Lens 62221;  760
Noyon 60400; 1 800
Nueil-les-Aubiers 79250;  390
Nuits-Saint-Georges 21700;  380
Nyons 26110;  740
Oberhausbergen 67205;  440
Obernai 67210; 1 000
Octeville-sur-Mer 76930;  300
Oignies 62590; 1 110
Oissel 76350; 1 230
Olivet 45160; 1 490
Ollainville 91290;  320
Ollioules 83190; 1 130
Olonne-sur-Mer 85340;  0
Oloron-Sainte-Marie 64400; 1 150
Ombrée d'Anjou 49420;  820
Ondres 40440;  650
Onet-le-Château 12850; 1 030
Onnaing 59264;  980
Oraison 04700;  570
Orange 84100; 3 650
Orchies 59310;  850
Orée d'Anjou 49270; 1 270
Orgères 35230;  480
Orgeval 78630;  410
Orléans 45000; 13 460
Orly 94310; 2 320
Ormesson-sur-Marne 94490;  580
Orsay 91400;  900
Orthez 64300;  940
Orvanne 77250;  890
Orvault 44700; 2 060
Osny 95520; 1 430
Ostricourt 59162;  680
Ostwald 67540; 1 410
Othis 77280;  450
Ouistreham 14150;  760
Oullins 69600; 2 240
Outreau 62230; 1 300
Oye-Plage 62215;  470
Oyonnax 01100; 2 890
Ozoir-la-Ferrière 77330; 1 550
Pacé 35740;  840
Pacy-sur-Eure 27120;  460
Paimpol 22500;  630
Palaiseau 91120; 2 350
Palavas-les-Flots 34250;  890
Pamiers 09100; 1 820
Panazol 87350;  720
Pantin 93500; 7 520
Papaichton 97316;  130
Paray-le-Monial 71600;  660
Paray-Vieille-Poste 91550;  530
Parempuyre 33290;  890
Parentis-en-Born 40160;  810
Parigné-l'Évêque 72250;  290
Paris 75000; 210 980
Parmain 95620;  330
Parthenay 79200;  870
Passy 74190;  680
Pau 64000; 8 200
Pauillac 33250;  690
Pavilly 76570;  490
Pecquencourt 59146;  880
Pégomas 06580;  650
Pélissanne 13330;  870
Penmarch 29760;  430
Pérenchies 59840;  570
Périgny 17180;  720
Périgueux 24000; 3 470
Pernes-les-Fontaines 84210; 1 010
Pérols 34470; 1 030
Péronnas 01960;  500
Péronne 80200; 1 020
Perpignan 66000; 17 890
Perros-Guirec 22700;  570
Persan 95340; 1 550
Pertuis 84120; 2 220
Pessac 33600; 4 810
Petit-Bourg 97170; 3 190
Petit-Canal 97131; 1 160
Petit-Caux 76370;  640
Petit-Couronne 76650;  930
Petite-Forêt 59494;  530
Petite-Île 97429; 2 540
Petite-Rosselle 57540;  590
Peymeinade 06530;  750
Peypin 13124;  390
Peyrolles-en-Provence 13860;  490
Pézenas 34120; 1 210
Pfastatt 68120;  910
Pia 66380; 1 290
Pibrac 31820;  570
Pierre-Bénite 69310; 1 070
Pierrefeu-du-Var 83390;  420
Pierrefitte-sur-Seine 93380; 3 440
Pierrelatte 26700; 1 670
Pierrelaye 95480;  830
Pignan 34570;  750
Piolenc 84420;  550
Pithiviers 45300; 1 160
Plabennec 29860;  550
Plaisance-du-Touch 31830; 1 740
Plaisir 78370; 2 540
Plan-de-Cuques 13380;  650
Plédran 22960;  490
Plérin 22190; 1 130
Plescop 56890;  580
Plessé 44630;  450
Pleurtuit 35730;  570
Ploemeur 56270; 1 140
Ploeren 56880;  490
Ploërmel 56800;  850
Plonéour-Lanvern 29720;  530
Plouay 56240;  350
Ploudalmézeau 29830;  400
Ploufragan 22440; 1 050
Plougastel-Daoulas 29470;  960
Plouguerneau 29880;  540
Plouhinec 56680;  470
Plouigneau 29610;  340
Ploumagoar 22970;  370
Plouzané 29280;  780
Pluneret 56400;  490
Pluvigner 56330;  620
Pointe-à-Pitre 97110; 2 790
Pointe-Noire 97116;  910
Poissy 78300; 3 890
Poisy 74330;  650
Poitiers 86000; 8 930
Pollestres 66450;  570
Pont-à-Mousson 54700; 1 380
Pontarlier 25300; 1 830
Pont-Audemer 27500; 1 140
Pontault-Combault 77340; 3 040
Pontcharra 38530;  620
Pontchâteau 44160;  880
Pont-de-Chéruy 38230;  600
Pont-du-Château 63430;  850
Pont-Évêque 38780;  580
Pontivy 56300; 1 200
Pont-l'Abbé 29120;  790
Pont-l'Évêque 14130;  410
Pontoise 95000; 3 220
Pont-Sainte-Marie 10150;  610
Pont-Sainte-Maxence 60700; 1 270
Pont-Saint-Esprit 30130; 1 220
Pont-Saint-Martin 44860;  410
Pordic 22590;  490
Pornic 44210; 1 340
Pornichet 44380;  990
Port-de-Bouc 13110; 1 900
Portes-lès-Valence 26800;  920
Portet-sur-Garonne 31120;  870
Port-la-Nouvelle 11210;  730
Port-Louis 97117;  970
Porto-Vecchio 20137; 1 830
Port-Saint-Louis-du-Rhône 13230;  940
Pourrières 83910;  350
Poussan 34560;  630
Pouzauges 85700;  430
Prades 66500;  800
Prades-le-Lez 34730;  490
Prévessin-Moëns 01280;  520
Privas 07000;  920
Provins 77160; 1 320
Publier 74500;  680
Puget-sur-Argens 83480;  980
Puilboreau 17138;  550
Pulnoy 54420;  380
Puteaux 92800; 3 610
Quesnoy-sur-Deûle 59890;  430
Questembert 56230;  640
Quetigny 21800;  900
Quéven 56530;  570
Quiévrechain 59920;  750
Quimper 29000; 6 290
Quimperlé 29300; 1 230
Quincy-sous-Sénart 91480;  760
Quincy-Voisins 77860;  350
Quint-Fonsegrives 31130;  390
Rabastens 81800;  660
Raismes 59590; 1 650
Rambervillers 88700;  520
Rambouillet 78120; 1 780
Ramonville-Saint-Agne 31520; 1 490
Raon-l'Étape 88110;  770
Redon 35600; 1 030
Reichshoffen 67110;  430
Reignier-Ésery 74930;  650
Reims 51100; 20 810
Remiremont 88200;  820
Remire-Montjoly 97354; 1 870
Rennes 35000; 25 150
Rethel 08300;  770
Revel 31250; 1 030
Revin 08500;  880
Reyrieux 01600;  330
Rezé 44400; 4 230
Riantec 56670;  500
Riedisheim 68400; 1 040
Rillieux-la-Pape 69140; 3 010
Riom 63200; 1 980
Riorges 42153;  960
Ris-Orangis 91130; 3 030
Rive-de-Gier 42800; 1 600
Rives 38140;  500
Rivesaltes 66600; 1 250
Rives-du-Loir-en-Anjou 49140;  370
Rivière-Pilote 97211; 1 680
Rivière-Salée 97215; 1 650
Rixheim 68170; 1 220
Roanne 42300; 4 270
Rocbaron 83136;  450
Rochefort 17300; 2 770
Rochefort-du-Gard 30650;  640
Roche-la-Molière 42230;  820
Rodez 12000; 2 290
Rognac 13340; 1 060
Roissy-en-Brie 77680; 1 820
Romagnat 63540;  510
Romainville 93230; 4 050
Romans-sur-Isère 26100; 4 180
Rombas 57120;  970
Romilly-sur-Seine 10100; 2 110
Romorantin-Lanthenay 41200; 1 700
Ronchin 59790; 2 040
Roncq 59223; 1 050
Roost-Warendin 59286;  620
Roquebrune-Cap-Martin 06190; 1 180
Roquebrune-sur-Argens 83520; 1 670
Roquefort-la-Bédoule 13830;  420
Roquefort-les-Pins 06330;  490
Roquemaure 30150;  590
Roques 31120;  530
Roquevaire 13360;  810
Rosheim 67560;  330
Rosières-près-Troyes 10430;  290
Rosny-sous-Bois 93110; 5 220
Rosny-sur-Seine 78710;  740
Rosporden 29140;  670
Roubaix 59100; 16 520
Rouen 76000; 13 700
Rousset 13790;  510
Roussillon 38150;  850
Rouvroy 62320;  990
Royan 17200; 1 910
Roye 80700;  760
Rueil-Malmaison 92500; 5 570
Ruelle-sur-Touvre 16600;  690
Rumilly 74150; 1 350
Rungis 94150;  330
Sablé-sur-Sarthe 72300; 1 380
Sainghin-en-Weppes 59184;  340
Sains-en-Gohelle 62114;  550
Saint-Affrique 12400;  630
Saint-Alban 31140;  690
Saint-Alban-Leysse 73230;  470
Saint-Amand-les-Eaux 59230; 1 640
Saint-Amand-Montrond 18200;  850
Saint-André 97440; 9 930
Saint-André-de-Cubzac 33240; 1 340
Saint-André-de-la-Roche 06730;  390
Saint-André-de-Sangonis 34725;  700
Saint-André-des-Eaux 44117;  470
Saint-André-les-Vergers 10120; 1 330
Saint-André-lez-Lille 59350; 1 080
Saint-Apollinaire 21850;  520
Saint-Arnoult-en-Yvelines 78730;  340
Saint-Astier 24110;  460
Saint-Aubin-de-Médoc 33160;  470
Saint-Aubin-lès-Elbeuf 76410;  800
Saint-Avé 56890;  820
Saint-Avertin 37550;  920
Saint-Avold 57500; 1 820
Saint-Barthélemy-d'Anjou 49124;  970
Saint-Benoît 86280;  500
Saint-Benoît 97470; 7 290
Saint-Berthevin 53940;  500
Saint-Bonnet-de-Mure 69720;  370
Saint-Brevin-les-Pins 44250; 1 040
Saint-Brice-sous-Forêt 95350; 1 210
Saint-Brieuc 22000; 5 620
Saint-Cannat 13760;  540
Saint-Chamas 13250;  770
Saint-Chamond 42400; 3 800
Saint-Chéron 91530;  340
Saint-Christol-lès-Alès 30380;  790
Saint-Claude 39200;  890
Saint-Claude 97120; 1 090
Saint-Clément-de-Rivière 34980;  320
Saint-Cloud 92210; 1 690
Saint-Cyprien 66750; 1 590
Saint-Cyr-au-Mont-d'Or 69450;  410
Saint-Cyr-l'École 78210; 1 620
Saint-Cyr-sur-Loire 37540; 1 360
Saint-Cyr-sur-Mer 83270; 1 030
Saint-Denis 93200; 13 630
Saint-Denis 97400; 26 860
Saint-Denis-de-Pile 33910;  590
Saint-Denis-en-Val 45560;  450
Saint-Denis-lès-Bourg 01000;  430
Saint-Didier-au-Mont-d'Or 69370;  370
Saint-Dié-des-Vosges 88100; 2 480
Saint-Dizier 52100; 2 540
Saint-Doulchard 18230;  550
Sainte-Adresse 76310;  400
Sainte-Anne 97180; 3 460
Sainte-Eulalie 33560;  410
Sainte-Foy-lès-Lyon 69110; 1 530
Sainte-Geneviève-des-Bois 91700; 3 020
Saint-Égrève 38120; 1 170
Sainte-Livrade-sur-Lot 47110;  760
Sainte-Luce 97228; 1 190
Sainte-Luce-sur-Loire 44980; 1 170
Sainte-Marie 97230; 2 290
Sainte-Marie 97438; 6 120
Sainte-Marie-aux-Mines 68160;  410
Sainte-Maxime 83120; 1 650
Sainte-Pazanne 44680;  480
Sainte-Rose 97115; 2 940
Sainte-Rose 97439; 1 460
Saintes 17100; 2 640
Sainte-Savine 10300; 1 150
Sainte-Sigolène 43600;  520
Sainte-Soulle 17220;  390
Saint-Esprit 97270; 1 120
Saint-Estève 66240; 1 100
Sainte-Suzanne 97441; 4 310
Saint-Étienne 42000; 20 930
Saint-Étienne-au-Mont 62360;  470
Saint-Étienne-de-Montluc 44360;  490
Saint-Étienne-du-Rouvray 76800; 3 430
Saint-Fargeau-Ponthierry 77310; 1 220
Saint-Florent-sur-Cher 18400;  490
Saint-Flour 15100;  530
Saint-Fons 69190; 2 580
Saint-François 97118; 2 590
Saint-Galmier 42330;  360
Saint-Gaudens 31800; 1 360
Saint-Gély-du-Fesc 34980;  580
Saint-Genest-Lerpt 42530;  460
Saint-Genis-Laval 69230; 1 390
Saint-Genis-les-Ollières 69290;  350
Saint-Genis-Pouilly 01630;  980
Saint-Georges-de-Didonne 17110;  450
Saint-Georges-d'Orques 34680;  570
Saint-Germain-du-Puy 18390;  360
Saint-Germain-en-Laye 78100; 2 930
Saint-Germain-lès-Arpajon 91180;  820
